ID,CATEGORY,CLUE,ANSWER,CLASSIFICATION
261,CLASSICAL COMPOSERS,"On the eve of the premiere of ""Carmen"", he was named a chevalier of the Legion of Honor",Georges Bizet,Other
167,THE ARTS,"Sadly, mental illness ended the career of <a href=""https://www.j-archive.com/media/2023-05-22_J_02.jpg"" target=""_blank"">this</a> Russian-born ballet dancer in 1919 while he was still in his 20s",Nijinsky,History
444,<u>THE RAVEN</u>-POURRI,"""Presently my soul grew stronger"", & I'd wait no longer! This ""small"" French cake I'd make, I swore!  ""Quoth the raven...""",petit four,Literature
356,ONE GIANT LEAP,His important experiments included launching the 1st successful liquid propellant rocket; it only traveled 184 feet,Robert Goddard,Science
58,"OF THE ""THIRD"" KIND","In a classic comedy routine, it's where you'll find ""I Don't Know""",third base,Literature
60,POTENT POTABLES,"Like a white rose cocktail, a white baby contains this liquor -- you might prefer the dry type",gin,Other
194,TALES OF THE SOUTH PACIFIC,"She wrote the classic anthropology text ""Coming of Age in Samoa""",(Margaret) Mead,History
281,SHAKING UP SHAKESPEARE,"Coach Benedick & Professor Beatrice face off in ""About Face"", a college-set musical update of this comedy",<i>Much Ado About Nothing</i>,Literature
383,POP CULTURE BOOKSHELF,"(<a href=""http://www.j-archive.com/media/2020-01-08_DJ_13.jpg"" target=""_blank"">Kevin Hart delivers the clue.</a>)  There's desert & snow & now, it's Danny Glover <a href=""http://www.j-archive.com/media/2020-01-07_DJ_13.mp4"">taking over</a> my avatar in ""Jumanji: The Next Level"", the most recent film inspired by a book written & illustrated by this man",Van Allsburg,Literature
302,"JAVA, THE HUT","After World War II, Paris's Cafe de Flore became awash with tourists hoping to find <a href=""http://www.j-archive.com/media/2007-04-20_J_30.jpg"" target=""_blank"">this</a> man pondering the purpose of being",(Jean-Paul) Sartre,Literature
350,BUSINESS BIGGIES,In 1981 accountant Roger B. Smith became CEO of this American automaker,General Motors,History
259,"GIVE UP THE ""SHIP""!","The status of belonging to an organization, or the number of people who belong to one",membership,Other
461,T-N-C,Instability in the atmosphere that means it's time to buckle your airplane seatbelt,turbulence,Science
283,NAMES OF THE '80s,In 1986 Howard the Duck lost at the box office & this American won the Tour de France,Greg LeMond,History
141,LANGUAGE LESSONS,"Latin:
Voice of the people",<i>vox populi</i>,Other
267,GEOGRAPHIC ETYMOLOGY,This European capital's name comes from a barrier built across a river flowing through it,Amsterdam,Geography
25,SLOVAKIAN HISTORY,"Regiomontanus, the 1st scientific student of comets, taught at the Academia Istropolitana, Slovakia's 1st this",university,History
307,TRAVEL EUROPE,"This Paris palace was destroyed by Communards in 1871, but the gardens of the same name are still around",Tuileries,Geography
229,TRAVEL & TOURISM,The Centers for Disease Control in this city will fax information on health risks abroad to travelers,Atlanta,Geography
32,COLORFUL OSCAR-WINNING FILMS,"I'm just Wilde about Harry Stradling, who won a cinematography Oscar for this novel adaptation",<i>The Picture of Dorian Gray</i>,Literature
269,1776,"On December 5, at the College of William and Mary, this first fraternity was founded",Phi Beta Kappa,History
488,KABUL STONES,The workers of the Kabul Museum risked their lives to save stone figures from destruction by this group in 2001,the Taliban,History
56,GEOGRAPHY,Port Said & Port Fuad lie opposite each other at the northern end of this canal,the Suez Canal,Geography
417,COLORFUL QUOTES,"Stephen Foster dreamed of her, ""floating like a vapor on the soft summer air""",Jeannie with the light brown hair,Literature
216,19th CENTURY NOVELS,The original version of this novel made vampires seem a real threat; an editor said people are jumpy from Jack the Ripper--go easy,<i>Dracula</i>,Literature
339,JUST SAY...,361 stones are used in this board game of Japan,Go,Other
494,LEFTOVERS,Brit Nick Faldo has made his name as one of these,a golfer,Other
260,SMALL-SCREEN CRIME FIGHTERS,"Played by Don Knotts, this small-screen cop helped keep the peace in Mayberry",Barney Fife,History
226,WINGS,"An official state bird, the Rhode Island Red is one of these",a chicken,Other
381,MOVIE PAIRS,Comic strip characters played on screen by Arthur Lake & Penny Singleton,Dagwood & Blondie,Literature
490,"MIND YOUR ""P""s & ""Q""s","Soft wet miry land, like Vietnam, or a predicament, like Vietnam in the '70s",a quagmire,History
68,A PASSION FOR FASHION,"<a href=""http://www.j-archive.com/media/2016-04-18_J_14.jpg"" target=""_blank"">This jacket seen here named for an historic figure was big in the 60s",a Nehru jacket,Other
432,AFRICAN COUNTRIES,"Some in Puntland, part of this East African country, defend piracy as a response to illegal fishing & toxic dumping",Somalia,Geography
66,LEADERS,Viktor Orban is the anti-immigrant leader of this European country,Hungary,History
349,THAT'S MY BOY!,"Unlike his father Pedro I, Pedro II worked to abolish slavery in this country",Brazil,History
1,JANUARY HOLIDAYS & OBSERVANCES,January 3 is admission day in this state that celebrates being No. 49,Alaska,Geography
202,4-SYLLABLE WORDS,"When the Bastille fell, Louis XVI asked, ""Is it a revolt?"" & was told it was one of these",Revolution,History
408,STATE CAPITALS,It lies at the confluence of the Mississippi & Minnesota rivers,St. Paul,Geography
192,THAT'S A FACT,"The Peruvian part of this lake covers more than 1,900 square miles but even more importantly, it's funny to say",Titicaca,Geography
265,TV STARS,"Maureen McCormick, who played Marcia on this TV series, recorded a country music album in 1995",<i>The Brady Bunch</i>,Other
412,"IT'S AN ""AD"", ""AD"", ""AD"", ""AD"" WORLD",This South Australian city lies at the base of the Mount Lofty Ranges,Adelaide,Geography
335,ACTOR-DIRECTORS,"His career as an actor-director has been largely a ""rocky"" one but also includes ""The Expendables""",(Sylvester) Stallone,Other
337,"""LL""","Pre-lite beer he'd already starred in films, not only as the hero he created but as himself",Mickey Spillane,Other
39,ANCIENT HISTORY,World's most extensive archaeological dig is still being conducted at this ancient Italian site,Pompeii,History
127,URBAN MYTHS,"Did you hear?  This man had a congressional page fired for making a ""Love Boat"" joke",Fred Grandy,Other
72,"ALL ""AMERICAN""","Their publications include ""First Aid Fast"" & a ""Babysitter's Handbook""",the American Red Cross,History
409,ARTISTS,Houdon's marble statue of this Enlightenment philosopher seated is at the Comedie Francaise,Voltaire,History
133,NEIGHBORS OF NIGER,"Naturally, <a href=""http://www.j-archive.com/media/2012-07-16_DJ_19.jpg"" target=""_blank"">it</a>'s Niger's neighbor",Nigeria,Geography
180,JEOPORTMANTEAU!,Thane of Cawdor plus birthplace of Jesus,Macbethlehem,History
194,TALES OF THE SOUTH PACIFIC,"She wrote the classic anthropology text ""Coming of Age in Samoa""",(Margaret) Mead,History
321,"FROM THE ""PEN"" OF <u>WEBSTER'S THIRD</u>","""The shaded region surrounding the dark central portion of a sunspot""",penumbra,Science
173,"CROSSWORD CLUES ""E""",Having keen vision (5-4),eagle-eyed,Other
419,QUOTATIONS,"Vince Lombardi said ""There are three important things in life: family, religion and"" this team",the Green Bay Packers,Other
152,"""W""RITERS",This member of the Bloomsbury Group was born Adeline Virginia Stephen,(Virginia) Woolf,History
307,TRAVEL EUROPE,"This Paris palace was destroyed by Communards in 1871, but the gardens of the same name are still around",Tuileries,Geography
477,MUSICALS,"After 3,388 performances & an 8-year run, this musical was no longer ""the word"" when it closed April 13, 1980",<i>Grease</i>,Other
351,THE 50 STATES,An 1881 resolution established that this state's name was to be spelled one way but pronounced another,Arkansas,Geography
94,INSURANCE,In 1988 this British firm celebrated its 300th anniversary,Lloyd's of London,History
103,MMM...BEER,"In the 1890s, Adolphus Busch developed this super-premium beer still marketed by Anheuser-Busch",Michelob,History
487,BASEBALL LIT,Roger Angell's classic baseball articles include a profile of this Hall of Fame Cardinals pitcher of the '60s,Bob Gibson,Other
145,GUINNESS RECORDS,"No doubt the most valuable object ever stolen, it vanished from the Louvre in 1911, but was recovered",the <i>Mona Lisa</i>,History
402,AMERICAN DIPLOMATS,"During the happenings that led to Iran-Contra, Harry E. Bergold, Jr. was ambassador to this country",Nicaragua,History
310,FICTION,"His ""The World According to Garp"" & ""The Cider House Rules"" were both made into movies",(John) Irving,Other
45,THE FOOL,"In 1519 this Aztec welcomed Cortes with gold, perhaps thinking the explorer was a god; he died in 1520",Montezuma,History
307,TRAVEL EUROPE,"This Paris palace was destroyed by Communards in 1871, but the gardens of the same name are still around",Tuileries,Other
309,POTPOURRI,In 2001 Sweden & the U.S. honored this award's 100th anniversary with a set of postage stamps,the Nobel Prize,History
240,ATHLETES IN THE HEADLINES,"In 2016 Tamara James, formerly of this league's Washington Mystics, was elected mayor of Dania Beach, Fla.",the WNBA,History
373,COOKING WITH GRAHAM KERR,"Toheroa, a giant green type of this shellfish shows up in one of Graham's special soups",clam,Other
467,19th CENTURY QUOTATIONS,"He once said, ""I have constructed 3,000 different theories in connection with the electric light""",Edison,History
154,PEOPLE NAMED ALEX,"Before he wrote ""Roots"", Alex Haley helped write the life story of this black nationalist leader",Malcolm X,Literature
40,BODIES OF WATER,2 directions that complete the names of China seas,South China Sea & East China Sea,Geography
146,WORLD FACTS,"The population of this island nation is approximately 78% Greek, 19% Turkish & 3% other",Cyprus,Geography
244,"ON THE ""B""-LIST","The late, great Bill Monroe was considered ""The Father of"" this type of music",Bluegrass,Other
475,LITERATURE,"While writing this trilogy, J.R.R. Tolkien read chapters to C.S. Lewis",<i>The Lord of the Rings</i>,Literature
90,CHEERS,It's the booze that's in both a Bloody Mary & a screwdriver,vodka,Other
453,PRESIDENTIAL RELATIVES,This president gave the bride away when his niece Eleanor married his cousin Franklin,Teddy Roosevelt,History
482,MACHINES NEVER BUILT,This Reagan administration plan included anti-missile lasers & particle beams,Star Wars,History
467,19th CENTURY QUOTATIONS,"He once said, ""I have constructed 3,000 different theories in connection with the electric light""",Edison,Science
328,"STARTING ""EN""",It's a letter from the pope to Catholic churches worldwide,encyclical,Other
200,LIVE IN TEXAS,James Stockdale was this Texan's running mate in the 1992 presidental election,(Ross) Perot,History
258,FURNITURE,"Also known as the Sacco chair, it was designed by Zanotta of Milan & featured a bag filled with plastic beads",a bean bag (chair),Other
242,CAMELS,Camels are widely used on farms in the Punjab region of India & this country,Pakistan,Geography
340,MYTHOLOGY,She was Orpheus' wife,Eurydice,Literature
11,FIRST THINGS FIRST,"Opened in Houston in 1965, it was the first fully enclosed sports stadium; today, it bears the Reliant name as well",the Astrodome,History
342,PUT IT THERE,"El Capitan:
this national park",Yosemite National Park,Geography
333,ANTONYMS,Anagram of drain that's an antonym of zenith,nadir,Other
293,3-LETTER SPANISH WORDS,"Domingo, Lunes or Martes, for example",Dia,Other
92,GOVERNMENT AT YOUR SERVICE,"You can click on ""Where's My Refund?"" on this federal agency's website",the IRS,Other
145,GUINNESS RECORDS,"No doubt the most valuable object ever stolen, it vanished from the Louvre in 1911, but was recovered",the <i>Mona Lisa</i>,Other
426,"<a href=""http://www.j-archive.com/media/2020-01-14_J_Cat4.mp4"">THE GREATEST CANADIANS OF ALL TIME</a>","(<a href=""http://www.j-archive.com/media/2020-01-14_J_16.jpg"" target=""_blank"">Ryan Reynolds delivers the clue.</a>)  With a performing style that was, ah, quirky--he'd hum & sway as he played--<a href=""http://www.j-archive.com/media/2020-01-14_J_16a.jpg"" target=""_blank"">this</a> pianist leaped into international acclaim with his 1955 recording of Bach's ""Goldberg Variations""",Glenn Gould,Other
234,THE 1840s,In 1847 the Communist League hired this pair to write its manifesto,Karl Marx and Friedrich Engels,Literature
130,IOWA,"Pufferbilly Days, held each September in Boone, celebrates this means of transport",rail,Other
77,THE QUOTABLE CHURCHILL,"This ""at all costs,"" this ""in spite of all terror,"" this ""however long and hard the road may be"" (V is for...)",victory,History
51,TALES OF ADVENTURE,"Walter Lord's ""A Night to Remember"" is a riveting tale of this early 20th century disaster",the <i>Titanic</i>,Literature
318,LET'S SEE IF IT PAYS OFF FOR 'EM,"In 1996, one year after its founding, AuctionWeb moved more than $7 million in merchandise & in 1997 got this new name",eBay,History
355,19th CENTURY PRESIDENTS,Good looks weren't enough as he became the only full-term president rejected in a bid for his party's 2nd term nomination,Franklin Pierce,History
415,THEY ALMOST STARRED IN...,"Tallulah Bankhead refused this supporting role in ""Gone with the Wind"", wishing no one to call her madam",Belle Watling,Other
359,EARLY AMERICA,In 1626 this Dutchman arrived in New York Harbor aboard the ship Sea-Mew & settled on Manhattan,Peter Minuit,History
381,MOVIE PAIRS,Comic strip characters played on screen by Arthur Lake & Penny Singleton,Dagwood & Blondie,Other
336,"HEY, J.J.!","In the '50s, <a href=""http://www.j-archive.com/media/2008-05-28_DJ_18.jpg"" target=""_blank"">he</a> became friends with another innovative alliterative artist, Robert Rauschenberg",Jasper Johns,Other
489,ARTISTS,"This Impressionist's ""Luncheon on the Grass"", showing a nude woman picnicking w/2 men, shocked 1863 Paris",Édouard Manet,Other
121,COLORFUL MOVIES,"""Pirates of the Caribbean: The Curse of the ____ Pearl""",Black,Other
23,RIP VAN WINKLE,Rip was a descendant of the Van Winkles who served under this one-legged governor of New Netherland,(Peter) Stuyvesant,History
353,MILITARY LEADERS,"Noted for his eye patch, this general served as Israel's defense minister from 1967 to 1974",Moshe Dayan,History
188,"SHOOTING ""BB""s",A sheath for a sword,a scabbard,Other
381,MOVIE PAIRS,Comic strip characters played on screen by Arthur Lake & Penny Singleton,Dagwood & Blondie,Literature
213,PAINTING & SCULPTURE,"A painting applied to & made integral with a wall or ceiling, its name is from Latin for ""wall""",Mural,Other
326,THE NEANDERTHALS,"Some Neanderthals hunted megafauna like the mammoth, the wooly rhino & this wild ox, the ancestor of domestic cattle",the aurochs,History
315,"<a href=""https://www.j-archive.com/media/2022-02-08_J_Cat6.mp4"">STUFF YOU SHOULD KNOW</a>","(<a href=""https://www.j-archive.com/media/2022-02-08_J_18.mp4"">Chuck Bryant reads the clue.</a>)  In 2014, a so-called ""hurricane"" 600 miles wide arose in the ionosphere over the North Pole; the cyclone was composed of this substance dubbed ""the 4th state of matter""",plasma,Science
90,CHEERS,It's the booze that's in both a Bloody Mary & a screwdriver,vodka,Other
371,HOW TO,"In Italy, with pronto, in the Netherlands, with your name, & in the U.S., with hello",how do you answer the telephone,Other
32,COLORFUL OSCAR-WINNING FILMS,"I'm just Wilde about Harry Stradling, who won a cinematography Oscar for this novel adaptation",<i>The Picture of Dorian Gray</i>,Other
330,WHICH CAME FIRST?,"Castro,
Stalin,
Lenin,
Tito",Lenin,History
8,TIME FOR AN APP,"The ""world's largest professional network"", it's like Facebook but for finding jobs & making business connections",LinkedIn,Other
175,THINGS WITH POCKETS,A fob pocket on a vest or a pair of pants was originally designed to carry this,a watch,History
43,HOMOPHONES,"Someone residing in a foreign land; or, Drew Bledsoe, now with the Buffalo Bills",expatriate/ex-Patriot,Other
230,ASSASSINATIONS,"After the assassination of Sancho II in 1072, this Spanish nat'l hero entered the service of Alfonso VI",El Cid,History
267,GEOGRAPHIC ETYMOLOGY,This European capital's name comes from a barrier built across a river flowing through it,Amsterdam,Geography
413,JOURNALISM CLICHES,"A recent search on the nexis.com database found 580 uses in a month of ""shrouded in secrecy"" or ""shrouded in"" this",mystery,Literature
64,THE THEATRE,This murderous barber has a chair that can suddenly drop a victim via trap door into a cellar,Sweeney Todd,Other
35,COLLEGES & UNIVERSITIES,This Poughkeepsie school was the first of the seven sisters to be coeducational,Vassar,History
438,DISNEY SONGS,Simba & Nala sing it on realizing they've found romance,"""Can You Feel The Love Tonight""",Other
420,HOW TO MARRY A MILLIONAIRE,"Like Manilow's ""Lola"",  <a href=""http://www.j-archive.com/media/2006-04-20_J_11.jpg"" target=""_blank"">Evelyn Nesbitt</a> was one of these theater females; in 1906, her rich, crazy husband shot her ex-lover",showgirl,Other
295,NOVELS,This novel by J.D. Salinger chronicles 2 days in the life of a prep school student,<i>The Catcher in the Rye</i>,Literature
259,"GIVE UP THE ""SHIP""!","The status of belonging to an organization, or the number of people who belong to one",membership,Other
121,COLORFUL MOVIES,"""Pirates of the Caribbean: The Curse of the ____ Pearl""",Black,Other
40,BODIES OF WATER,2 directions that complete the names of China seas,South China Sea & East China Sea,Geography
315,"<a href=""https://www.j-archive.com/media/2022-02-08_J_Cat6.mp4"">STUFF YOU SHOULD KNOW</a>","(<a href=""https://www.j-archive.com/media/2022-02-08_J_18.mp4"">Chuck Bryant reads the clue.</a>)  In 2014, a so-called ""hurricane"" 600 miles wide arose in the ionosphere over the North Pole; the cyclone was composed of this substance dubbed ""the 4th state of matter""",plasma,Science
203,LIFE OF A SALESMAN,"His name means ""coal miner"", but he was a book salesman who started a weekly magazine in 1895",Peter Fenelon Collier,Literature
166,TRANSPORTATION,"The USA's largest delivery company, it's brown vans are washed daily",UPS,Other
422,THE OSCARS,Oscar holds one of these,sword,Other
287,THEY DIFFER BY ONE LETTER,A mallard's playing card set,a duck deck,Other
57,THE LIBRARY OF CONGRESS,"Registered in 1893 by Thomas Edison, ""...Record of a Sneeze"" is the earliest known copyright for one of these",Motion picture,History
405,IN THE OCEAN,"The ""Eurotunnel"" to link France & England is being dug under this strait",the Strait of Calais (the Pas de Calais or the Dover Strait),Geography
378,"STARTS WITH ""WH""",It's the watery part of milk that separates from the curds when making cheese,whey,Other
487,BASEBALL LIT,Roger Angell's classic baseball articles include a profile of this Hall of Fame Cardinals pitcher of the '60s,Bob Gibson,Other
67,5-LETTER WORDS,The 10 Commandments say not to do this to another man's house or wife,covet,Literature
214,MAGAZINES,"A combination of bits processed by a computer as a unit, or a computer magazine",byte,Science
256,5-LETTER WORDS,"MTV's 1997 award for Best New Artist in a Video went to this ""Sleep to Dream"" singer with 2 5-letter names",Fiona Apple,Other
105,"""Y"" NOT","In Chinese dualistic philosophy, Yin is the female cosmic principle; this is the male",Yang,Other
285,RED,"Seen <a href=""http://www.j-archive.com/media/2001-09-27_J_07.jpg"" target=""_blank"">here</a>, it's rolled out for important occasions",the red carpet,Other
52,NEWSPAPERS,In 1946 financier Eugene Meyer turned over the operations of this newspaper to his son-in-law Philip Graham,the Washington Post,Literature
167,THE ARTS,"Sadly, mental illness ended the career of <a href=""https://www.j-archive.com/media/2023-05-22_J_02.jpg"" target=""_blank"">this</a> Russian-born ballet dancer in 1919 while he was still in his 20s",Nijinsky,Other
222,RHYME TIME,"A quick, casual kiss on the nape",a neck peck,Other
215,WOMEN DIRECTORS,"Penny Marshall made her directing debut on this sitcom; she starred on it, too","""Laverne And Shirley""",Other
244,"ON THE ""B""-LIST","The late, great Bill Monroe was considered ""The Father of"" this type of music",Bluegrass,Other
428,TOP 40 MATH,"Tennessee Ernie Ford's ""Tons"" times Eddie Money's ""Tickets To Paradise""",32,Other
490,"MIND YOUR ""P""s & ""Q""s","Soft wet miry land, like Vietnam, or a predicament, like Vietnam in the '70s",a quagmire,Other
478,FAMILY FILMS,"This film from Joel & Ethan Coen was partly based on Homer's ""Odyssey""","<i>O Brother, Where Art Thou?</i>",Other
414,SCI FI MOVIE SUMMARIES,1977: Certain folks can't get a Wyoming landmark out of their heads & go there to meet new friends,<i>Close Encounters of the Third Kind</i>,Other
84,POLITICAL TERMS,"A room used in sound recording, this phrase means a group of people who repeat & reinforce each other's beliefs",echo chamber,Other
438,DISNEY SONGS,Simba & Nala sing it on realizing they've found romance,"""Can You Feel The Love Tonight""",Other
54,HIGH SCHOOL NAMES,"A Washington-area high school bears the name of this Senators pitcher, ""The Big Train""",Walter Johnson,Other
408,STATE CAPITALS,It lies at the confluence of the Mississippi & Minnesota rivers,St. Paul,Geography
443,THE SUPREME COURT,"Every attorney who argues a case before the Supreme Court receives this type of pen, but not the inkwell",a quill,Other
422,THE OSCARS,Oscar holds one of these,sword,Other
215,WOMEN DIRECTORS,"Penny Marshall made her directing debut on this sitcom; she starred on it, too","""Laverne And Shirley""",Other
375,POTPOURRI,The portrait on the U.S. $5 bill is from a photograph taken at this man's studio,Mathew Brady,History
96,LANDMARKS,Paris locale where you'd go to view the Mona Lisa,the Louvre,Geography
206,YOU'VE GOT TASTE,The Oyster Perpetual is a legendary watch from this upscale brand,Rolex,Other
99,FAIRY TALES,She lived with a septet of men who didn't even get names until 1937,Snow White,Literature
357,PARADISE BY,"""Do you love me? Will you love me forever?"" are lyrics in this singer's ""Paradise By The Dashboard Light""",Meat Loaf,Other
60,POTENT POTABLES,"Like a white rose cocktail, a white baby contains this liquor -- you might prefer the dry type",gin,Other
362,WHAT'S IN YOUR BRAIN?,Sulci are grooves on the brain surface; this German pathologist noted wide sulci in a 1906 autopsy of a dementia patient,Alzheimer,Science
77,THE QUOTABLE CHURCHILL,"This ""at all costs,"" this ""in spite of all terror,"" this ""however long and hard the road may be"" (V is for...)",victory,History
488,KABUL STONES,The workers of the Kabul Museum risked their lives to save stone figures from destruction by this group in 2001,the Taliban,History
155,CELEBRITIES,"An Oscar-winner for ""Dreamgirls"", in 2022 <a href=""https://www.j-archive.com/media/2022-10-18_J_01.jpg"" target=""_blank"">she</a> became an EGOT, adding a Tony for ""A Strange Loop"", which she co-produced",(Jennifer) Hudson,Other
337,"""LL""","Pre-lite beer he'd already starred in films, not only as the hero he created but as himself",Mickey Spillane,Other
34,THE 18th CENTURY,In 1789 General Nguyen Hue led an attack on Chinese forces during this holiday,Tet,History
243,SPELLED THE SAME,"Either an agricultural yield, or to manufacture something",produce,Other
338,INTERNATIONAL CUISINE,Hungary is famous for this beef stew flavored with paprika,goulash,Other
36,ENGLISH LANGUAGE WRITERS,"In his journal of 1710 to 1713, he referred to himself as ""Presto""",Jonathan Swift,Literature
318,LET'S SEE IF IT PAYS OFF FOR 'EM,"In 1996, one year after its founding, AuctionWeb moved more than $7 million in merchandise & in 1997 got this new name",eBay,History
312,TRAVELING ABROAD,Take firth things firth; the Antonine Wall was built across Scotland from the Firth of Clyde to this firth,the Firth of Forth,Geography
79,CHARACTERS IN PLAYS,In this play Veta Simmons tries to get her brother Elwood P. Dowd committed to a sanitorium,<i>Harvey</i>,Literature
74,LET'S GUESS YOUR WAIT,"An elderly woman recognizes this now-old Washington Irving character & asks, ""Where have you been these twenty long years?""",Rip Van Winkle,Literature
187,FAMOUS FRENCH FOLKS,"Seen <a href=""http://www.j-archive.com/media/2012-05-10_DJ_20.jpg"" target=""_blank"">here</a> is a wax figure of <a href=""http://www.j-archive.com/media/2012-05-10_DJ_20.jpg"" target=""_blank"">this</a> woman who survived France's Reign of Terror to found her own
wax museum",Madame Tussaud,History
195,POP CULTURE-POURRI,It's the title of a 1978 Brooke Shields film & a 2023 documentary series about Brooke Shields,<i>Pretty Baby</i>,Other
373,COOKING WITH GRAHAM KERR,"Toheroa, a giant green type of this shellfish shows up in one of Graham's special soups",clam,Other
8,TIME FOR AN APP,"The ""world's largest professional network"", it's like Facebook but for finding jobs & making business connections",LinkedIn,Other
259,"GIVE UP THE ""SHIP""!","The status of belonging to an organization, or the number of people who belong to one",membership,Other
268,"SEMPER ""FI""","Countable, with an end or limit",finite,Other
263,NEW ENGLAND HODGEPODGE,"Rockland, the ""Schooner Capital of"" this state, celebrates Schooner Days once a year",Maine,History
281,SHAKING UP SHAKESPEARE,"Coach Benedick & Professor Beatrice face off in ""About Face"", a college-set musical update of this comedy",<i>Much Ado About Nothing</i>,Other
90,CHEERS,It's the booze that's in both a Bloody Mary & a screwdriver,vodka,Other
462,CHARITABLE FOLKS,"L.A. has a contemporary art museum & a playhouse named for <a href=""http://www.j-archive.com/media/2018-03-02_J_20.jpg"" target=""_blank"">this</a> music & movie mogul",David Geffen,Other
396,TRADING PLACES,Its location at 18 Broad Street near Wall Street was designated a national historic landmark in 1978,the New York Stock Exchange,Geography
370,SIT ON IT!,"At the Jackie Kennedy Onassis auction in 1996, one of these chairs used by JFK sold for $442,500",a rocking chair,History
478,FAMILY FILMS,"This film from Joel & Ethan Coen was partly based on Homer's ""Odyssey""","<i>O Brother, Where Art Thou?</i>",Other
476,"""S""TUFF",This term for the illegal selling of concert tickets sounds like a bad way to lose your hair,scalping,Other
366,HOSPITALS,"Now closed, the D.C. hospital named for him opened in 1909 & in WWI, went from 80 beds to 2,500 in months",Walter Reed,History
394,EUROPEAN NATIONAL ANTHEMS,"""La Brabanconne""",Belgium,Other
206,YOU'VE GOT TASTE,The Oyster Perpetual is a legendary watch from this upscale brand,Rolex,Other
273,"ON ""Q""",It's the Indian name for a large hard-shell clam,a quahog,Other
91,THE 1980s,"In 1985, 55 years after his death, a memorial to D.H. Lawrence was unveiled in this church's Poet's Corner",Westminster Abbey,Geography
459,STATE THE STATE,"<a href=""http://www.j-archive.com/media/2010-05-31_J_12.jpg"" target=""_blank"">It</a>'s bigger than it looks",Montana,Geography
252,THAT'S MISTER TO YOU,"Pity the fool who doesn't know that he played Clubber Lang in ""Rocky III""",Mr. T,Other
112,CELEBRITY MEMOIRS,"It's no dream--Arnold Schwarzenegger really did title his 2012 memoir this, like that of his 1990 sci-fi thriller",<i>Total Recall</i>,Literature
0,COLLEGES & UNIVERSITIES,"This Hanover, New Hampshire college was established in 1770 when Eleazer Wheelock erected a single log hut",Dartmouth,Geography
423,FRIEND LIKE ME,"George Vancouver named the highest point in Washington state for his friend Pete, this British admiral",(Peter) Rainier,Geography
332,SPEECH!  SPEECH!,"Farewell address to Congress, April 19, 1951",Douglas MacArthur,History
101,"IN THE ""SPRING"" TIME","A beginning from which an enterprise is launched, it's also a summer Olympic diving event",a springboard,Other
326,THE NEANDERTHALS,"Some Neanderthals hunted megafauna like the mammoth, the wooly rhino & this wild ox, the ancestor of domestic cattle",the aurochs,History
177,PRO BASKETBALL,"On Nov. 24, 1960 this Philadelphia Warrior had 55 rebounds, still the one-game NBA record",Wilt Chamberlain,History
207,"LET'S TALK ABOUT ""SEX""",This person is in charge of the holy objects of a church,the sexton,History
458,AUTHORS,"This author's ""The Scarlet Letter"" was inspired by a red cloth he found at the Salem Custom House",Nathaniel Hawthorne,Literature
